round,pick,player,pct_ft,fta,pct_3pt,a3pt
1,1,Cade Cunningham,0.846,5.8,0.400,5.7
1,2,Jalen Green,0.829,2.3,0.365,5.7
1,3,Evan Mobley,0.694,5.8,0.300,1.2
1,4,Scottie Barnes,0.621,2.8,0.275,1.7
1,5,Jalen Suggs,0.754,3.8,0.337,3.5
1,6,Josh Giddey,0.691,2.4,0.293,3.5
1,7,Jonathan Kuminga,0.625,3.7,0.246,5.0
1,8,Franz Wagner,0.835,2.4,0.325,4.3
1,9,Davion Mitchell,0.657,1.9,0.376,3.2
1,10,Ziaire Williams,0.796,2.5,0.291,4.0
1,11,James Bouknight,0.802,4.2,0.320,3.4
1,12,Joshua Primo,0.750,1.5,0.381,3.8
1,13,Chris Duarte,0.803,2.9,0.380,5.3
1,14,Moses Moody,0.812,5.8,0.358,5.1
1,15,Corey Kispert,0.824,1.8,0.408,4.8
1,16,Alperen Sengun,0.812,6.2,0.190,0.7
1,17,Trey Murphy III,0.819,1.9,0.401,5.5
1,18,Tre Mann,0.788,2.2,0.349,3.6
1,19,Kai Jones,0.677,1.8,0.345,1.1
1,20,Jalen Johnson,0.632,2.9,0.444,1.4
1,21,Keon Johnson,0.703,3.7,0.271,1.8
1,22,Isaiah Jackson,0.700,3.6,0.000,0.1
1,23,Usman Garuba,0.598,1.0,0.315,1.2
1,24,Josh Christopher,0.800,3.7,0.305,3.9
1,25,Quentin Grimes,0.701,2.9,0.366,5.6
1,26,Bones Hyland,0.827,2.4,0.399,6.0
1,27,Cameron Thomas,0.882,7.6,0.325,7.2
1,28,Jaden Springer,0.810,4.0,0.435,1.8
1,29,Day'Ron Sharpe,0.505,3.5,0.000,0.1
1,30,Santi Aldama,0.639,4.4,0.306,5.4
2,31,Isaiah Todd,0.824,1.1,0.362,3.1
2,32,Jeremiah Robinson-Earl,0.768,3.2,0.301,2.6
2,33,Jason Preston,0.703,2.6,0.357,2.7
2,34,Rokas Jokubaitis,0.764,1.0,0.383,1.1
2,35,Herb Jones,0.604,3.0,0.900,0.3
2,36,Miles McBride,0.785,3.6,0.368,3.2
2,37,JT Thor,0.741,3.1,0.297,2.7
2,38,Ayo Dosunmu,0.750,3.8,0.345,3.6
2,39,Neemias Queta,0.646,4.4,0.375,0.1
2,40,Jared Butler,0.782,2.6,0.384,5.9
2,41,Joe Wieskamp,0.771,3.2,0.412,4.6
2,42,Isaiah Livers,0.856,1.3,0.412,3.3
2,43,Greg Brown III,0.708,2.2,0.330,3.5
2,44,Kessler Edwards,0.789,3.0,0.395,4.1
2,45,Juhann Begarin,0.613,2.8,0.342,4.1
2,46,Dalano Banton,0.631,2.1,0.237,2.0
2,47,David Johnson,0.650,1.7,0.349,2.3
2,48,Sharife Cooper,0.825,8.6,0.228,4.8
2,49,Marcus Zegarowski,0.772,2.3,0.423,5.5
2,50,Filip PetruÅ¡ev,0.739,6.6,0.419,3.0
2,51,Brandon Boston Jr.,0.785,2.6,0.300,4.0
2,52,Luka Garza,0.701,5.0,0.367,2.6
2,53,Charles Bassey,0.768,4.3,0.319,1.3
2,54,Sandro Mamukelashvili,0.663,2.6,0.339,2.6
2,55,Aaron Wiggins,0.769,1.8,0.361,5.0
2,56,Scottie Lewis,0.759,2.7,0.343,2.1
2,57,BalÅ¡a Koprivica,0.677,1.9,0.000,0.0
2,58,Jericho Sims,0.524,2.2,0.000,0.0
2,59,RaiQuan Gray,0.732,2.3,0.262,1.1
2,60,Georgios Kalaitzakis,0.735,1.2,0.194,1.1